Name,Sessiontype,Presenter,Location,Capacity,Teaser,Description
Matt & Stephanie Corker,Highlighted Projects 2,Matt & Stephanie Corker,Location,319,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 2,Matt & Stephanie Corker,Location,320,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 2,Matt & Stephanie Corker,Location,321,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,322,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,323,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,324,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,325,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,326,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,327,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,328,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,329,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,330,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,331,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,332,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,333,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,334,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,335,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,336,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,337,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,338,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,339,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,340,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
